0,0,-,-,-,init_experiment,round_ms=1000 nodes=25
1,76,localhost/127.0.0.1:8000,MinAddressLeaderElection,leader-0,state,localhost/127.0.0.1:8000,
2,76,localhost/127.0.0.1:8001,MinAddressLeaderElection,leader-1,state,localhost/127.0.0.1:8001,
3,77,localhost/127.0.0.1:8000,TreeLabelNodes,label-0,state,label:1
4,77,localhost/127.0.0.1:8001,TreeLabelNodes,label-1,state,label:1
5,78,localhost/127.0.0.1:8000,SpanningTree,tree-0,state,root=true dist=0 parent=null children=
6,78,localhost/127.0.0.1:8000,TreeCountNodes,count-0,state,subtree-size:1   child subtrees: 
7,78,localhost/127.0.0.1:8001,SpanningTree,tree-1,state,root=true dist=0 parent=null children=
8,79,localhost/127.0.0.1:8001,TreeCountNodes,count-1,state,subtree-size:1   child subtrees: 
9,113,localhost/127.0.0.1:8002,MinAddressLeaderElection,leader-2,state,localhost/127.0.0.1:8002,
10,114,localhost/127.0.0.1:8002,TreeLabelNodes,label-2,state,label:1
11,114,localhost/127.0.0.1:8002,SpanningTree,tree-2,state,root=true dist=0 parent=null children=
12,115,localhost/127.0.0.1:8002,TreeCountNodes,count-2,state,subtree-size:1   child subtrees: 
13,137,localhost/127.0.0.1:8003,MinAddressLeaderElection,leader-3,state,localhost/127.0.0.1:8003,
14,138,localhost/127.0.0.1:8003,TreeLabelNodes,label-3,state,label:1
15,139,localhost/127.0.0.1:8003,SpanningTree,tree-3,state,root=true dist=0 parent=null children=
16,139,localhost/127.0.0.1:8003,TreeCountNodes,count-3,state,subtree-size:1   child subtrees: 
17,177,localhost/127.0.0.1:8004,MinAddressLeaderElection,leader-4,state,localhost/127.0.0.1:8004,
18,177,localhost/127.0.0.1:8004,TreeLabelNodes,label-4,state,label:1
19,178,localhost/127.0.0.1:8004,SpanningTree,tree-4,state,root=true dist=0 parent=null children=
20,178,localhost/127.0.0.1:8004,TreeCountNodes,count-4,state,subtree-size:1   child subtrees: 
21,192,localhost/127.0.0.1:8005,MinAddressLeaderElection,leader-5,state,localhost/127.0.0.1:8005,
22,193,localhost/127.0.0.1:8005,TreeLabelNodes,label-5,state,label:1
23,193,localhost/127.0.0.1:8005,SpanningTree,tree-5,state,root=true dist=0 parent=null children=
24,194,localhost/127.0.0.1:8005,TreeCountNodes,count-5,state,subtree-size:1   child subtrees: 
25,220,localhost/127.0.0.1:8006,MinAddressLeaderElection,leader-6,state,localhost/127.0.0.1:8006,
26,221,localhost/127.0.0.1:8006,TreeLabelNodes,label-6,state,label:1
27,221,localhost/127.0.0.1:8006,SpanningTree,tree-6,state,root=true dist=0 parent=null children=
28,222,localhost/127.0.0.1:8006,TreeCountNodes,count-6,state,subtree-size:1   child subtrees: 
29,227,localhost/127.0.0.1:8007,MinAddressLeaderElection,leader-7,state,localhost/127.0.0.1:8007,
30,228,localhost/127.0.0.1:8007,TreeLabelNodes,label-7,state,label:1
31,229,localhost/127.0.0.1:8007,SpanningTree,tree-7,state,root=true dist=0 parent=null children=
32,229,localhost/127.0.0.1:8007,TreeCountNodes,count-7,state,subtree-size:1   child subtrees: 
33,255,localhost/127.0.0.1:8008,MinAddressLeaderElection,leader-8,state,localhost/127.0.0.1:8008,
34,255,localhost/127.0.0.1:8008,TreeLabelNodes,label-8,state,label:1
